#,Title,Type,Detail,Assignee Company,Assignee Name,Response Status,Date Initiated,Due Date,Location,Trade,Status,Reference,Priority,Cost Code,Cost Impact,Cost Impact Amount,Schedule Impact,Schedule Impact Days,,,,,,
442,PH 1 - Replace Stair Landing Trim,, 12.00 ,,,,9/21/2016,9/24/2016,Arbor way>103,,Open,,,,,,,,,,,,,
441,PH 1 - Handrail Addition,, 3.00 ,,,,9/21/2016,9/24/2016,101 northwoods village dr,,Open,,,,,,,,,,,,,
440,PH 1 - Handrail Addition,, 13.00 ,,,,9/21/2016,9/24/2016,104 northwoods village dr,,Open,,,,,,,,,,,,PH 1 - Replace Stair Landing Trim,12
439,PH 1 - Handrail Addition,, 65.00 ,,,,9/21/2016,9/24/2016,Arbor way>101,,Open,,,,,,,,,,,,PH 1 - Handrail Addition,65
438,PH 1 - Handrail Addition,, 6.00 ,,,,9/21/2016,9/24/2016,Arbor way>105,,Open,,,,,,,,,,,,PH 2 - Handrail Addition,113
437,PH 2 - Handrail Addition,, 93.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>108,,Open,,,,,,,,,,,,PH 2 - Replace Stair Beam,36
436,PH 2 - Handrail Addition,, 15.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>101,,Open,,,,,,,,,,,,PH 2 - Reattach Spindles, 38.00 
435,PH 2 - Handrail Addition,, 3.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>109,,Open,,,,,,,,,,,,PH 2 - Replace Stair Rail, 48.00 
434,PH 2 - Replace Stair Beam,, 36.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>116,,Open,,,,,,,,,,,,PH 2 - Add Car Stop, 8.00 
433,PH 2 - Reattach Spindles,, 38.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>116,,Open,,,,,,,,,,,,PH 1 - Curb Repair, 34.00 
432,PH 2 - Replace Stair Rail,, 4.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>106,,Open,,,,,,,,,,,,PH 1 - Concrete Saw Cut & Replace, 850.00 
431,PH 2 - Replace Stair Rail,, 2.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>109,,Open,,,,,,,,,,,,PH 2 - Concrete Saw Cut & Replace, 430.00 
430,PH 2 - Replace Stair Rail,, 4.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>111,,Open,,,,,,,,,,,,PH 2 - Concrete Grinding, 3.00 
429,PH 2 - Replace Stair Rail,, 38.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>116,,Open,,,,,,,,,,,,PH 1 - Asphalt Saw Cut & Replace," 1,250.00 "
428,PH 2 - Add Car Stop,, 8.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>106,,Open,,,,,,,,,,,,PH 2 - Asphalt Saw Cut & Replace, 250.00 
427,PH 1 - Curb Repair,, 34.00 ,,,,9/21/2016,9/24/2016,Arbor way>107,,Open,,,,,,,,,,,,PH 2 - Replace Dryer Vents, 3.00 
426,PH 1 - Concrete Saw Cut & Replace,, 190.00 ,,,,9/21/2016,9/24/2016,104 kindletree ct,,Open,,,,,,,,,,,,PH 2 - Replace Patio Ceiling, 40.00 
425,PH 1 - Concrete Saw Cut & Replace,, 222.00 ,,,,9/21/2016,9/24/2016,106 northwoods village dr,,Open,,,,,,,,,,,,PH 2 - Downspout Addition, 142.00 
424,PH 1 - Concrete Saw Cut & Replace,, 150.00 ,,,,9/21/2016,9/24/2016,110 northwoods village dr,,Open,,,,,,,,,,,,PH 2 - Downspout Reattach, 34.00 
423,PH 1 - Concrete Saw Cut & Replace,, 36.00 ,,,,9/21/2016,9/24/2016,Arbor way>102,,Open,,,,,,,,,,,,PH 2 - Downspout Replacement, 12.00 
422,PH 1 - Concrete Saw Cut & Replace,, 153.00 ,,,,9/21/2016,9/24/2016,Arbor way>105,,Open,,,,,,,,,,,,PH 1 - Cornerboard Replacement, 128.00 
421,PH 1 - Concrete Saw Cut & Replace,, 99.00 ,,,,9/21/2016,9/24/2016,Arbor way>107,,Open,,,,,,,,,,,,PH 1 - Gutter Replacement, 10.00 
420,PH 2 - Concrete Saw Cut & Replace,, 150.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>102,,Open,,,,,,,,,,,,PH 2 - Gutter Replacement, 8.00 
419,PH 2 - Concrete Saw Cut & Replace,, 262.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>103,,Open,,,,,,,,,,,,PH 1 - Replace Precast Tread, 5.00 
418,PH 2 - Concrete Saw Cut & Replace,, 18.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>107,,Open,,,,,,,,,,,,PH 2 - Replace Precast Tread, 21.00 
417,PH 2 - Concrete Grinding,, 3.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>108,,Open,,,,,,,,,,,,PH 1- Window Trim Add, 18.00 
416,PH 1 - Asphalt Saw Cut & Replace,, 420.00 ,,,,9/21/2016,9/24/2016,102 north woods village dr,,Open,,,,,,,,,,,,PH 1 - Replace Window Trim,#VALUE!
415,PH 1 - Asphalt Saw Cut & Replace,, 436.00 ,,,,9/21/2016,9/24/2016,106 northwoods village dr,,Open,,,,,,,,,,,,PH 2 - Replace Window Trim,#VALUE!
414,PH 1 - Asphalt Saw Cut & Replace,, 49.00 ,,,,9/21/2016,9/24/2016,110 northwoods village dr,,Open,,,,,,,,,,,,PH 1 - Replace Louvre , 1.00 
413,PH 1 - Asphalt Saw Cut & Replace,, 72.00 ,,,,9/21/2016,9/24/2016,Arbor way>101,,Open,,,,,,,,,,,,PH 1 - Trim,#VALUE!
412,PH 1 - Asphalt Saw Cut & Replace,, 273.00 ,,,,9/21/2016,9/24/2016,Arbor way>107,,Open,,,,,,,,,,,,PH 1 - Fascia Repair,#VALUE!
411,PH 2 - Asphalt Saw Cut & Replace,, 250.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>100,,Open,,,,,,,,,,,,PH 2 - Fascia Repair, 20.00 
410,PH 2 - Replace Dryer Vents,, 1.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>106,,Open,,,,,,,,,,,,PH 1 - Siding ,#VALUE!
409,PH 2 - Replace Dryer Vents,, 2.00 ,,,,9/21/2016,9/24/2016,100 west canopy oak ct,,Open,,,,,,,,,,,,PH 2 - Siding ,#VALUE!
408,PH 2 - Replace Patio Ceiling,, 40.00 ,,,,9/21/2016,9/24/2016,100 east canopy oak ct,,Open,,,,,,,,,,,,PH 1 - Soffit,#VALUE!
407,PH 2 - Downspout Addition,, 9.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>104,,Open,,,,,,,,,,,,,
406,PH 2 - Downspout Addition,, 1.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>107,,Open,,,,,,,,,,,,,
405,PH 2 - Downspout Addition,, 1.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>108,,Open,,,,,,,,,,,,,
404,PH 2 - Downspout Addition,, 1.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>118,,Open,,,,,,,,,,,,,
403,PH 2 - Downspout Addition,, 65.00 ,,,,9/21/2016,9/24/2016,100 east canopy oak ct,,Open,,,,,,,,,,,,,
402,PH 2 - Downspout Addition,, 65.00 ,,,,9/21/2016,9/24/2016,100 west canopy oak ct,,Open,,,,,,,,,,,,,
401,PH 2 - Downspout Reattach,, 22.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>103,,Open,,,,,,,,,,,,,
400,PH 2 - Downspout Reattach,, 12.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>101,,Open,,,,,,,,,,,,,
399,PH 2 - Downspout Replacement,, 12.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>116,,Open,,,,,,,,,,,,,
398,PH 1 - Cornerboard Replacement,, 18.00 ,,,,9/21/2016,9/24/2016,102 north woods village dr,,Open,,,,,,,,,,,,,
397,PH 1 - Cornerboard Replacement,, 48.00 ,,,,9/21/2016,9/24/2016,106 northwoods village dr,,Open,,,,,,,,,,,,,
396,PH 1 - Cornerboard Replacement,, 24.00 ,,,,9/21/2016,9/24/2016,108 northwoods village dr,,Open,,,,,,,,,,,,,
395,PH 1 - Cornerboard Replacement,, 20.00 ,,,,9/21/2016,9/24/2016,Arbor way>101,,Open,,,,,,,,,,,,,
394,PH 1 - Cornerboard Replacement,, 8.00 ,,,,9/21/2016,9/24/2016,Arbor way>103,,Open,,,,,,,,,,,,,
393,PH 1 - Cornerboard Replacement,, 10.00 ,,,,9/21/2016,9/24/2016,Arbor way>104,,Open,,,,,,,,,,,,,
392,PH 1 - Gutter Replacement,, 5.00 ,,,,9/21/2016,9/24/2016,107 northwoods village dr,,Open,,,,,,,,,,,,,
391,PH 1 - Gutter Replacement,, 5.00 ,,,,9/21/2016,9/24/2016,110 northwoods village dr,,Open,,,,,,,,,,,,,
390,PH 2 - Gutter Replacement,, 2.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>104,,Open,,,,,,,,,,,,,
389,PH 2 - Gutter Replacement,, 6.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>105,,Open,,,,,,,,,,,,,
388,PH 1 - Replace Precast Tread,, 5.00 ,,,,9/21/2016,9/24/2016,110 northwoods village dr,,Open,,,,,,,,,,,,,
387,PH 2 - Replace Precast Tread,, 2.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>100,,Open,,,,,,,,,,,,,
386,PH 2 - Replace Precast Tread,, 1.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>101,,Open,,,,,,,,,,,,,
385,PH 2 - Replace Precast Tread,, 1.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>111,,Open,,,,,,,,,,,,,
384,PH 2 - Replace Precast Tread,, 2.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>112,,Open,,,,,,,,,,,,,
383,PH 2 - Replace Precast Tread,, 13.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>116,,Open,,,,,,,,,,,,,
382,PH 2 - Replace Precast Tread,, 2.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>118,,Open,,,,,,,,,,,,,
381,PH 1- Window Trim Add,, 18.00 ,,,,9/21/2016,9/24/2016,Arbor way>103,,Open,,,,,,,,,,,,,
380,PH 1 - Replace Window Trim,, 3.00 ,,,,9/21/2016,9/24/2016,106 northwoods village dr,,Open,,,,,,,,,,,,,
379,PH 1 - Replace Window Trim,, 6.00 ,,,,9/21/2016,9/24/2016,107 northwoods village dr,,Open,,,,,,,,,,,,,
378,PH 1 - Replace Window Trim,, 3.00 ,,,,9/21/2016,9/24/2016,108 northwoods village dr,,Open,,,,,,,,,,,,,
377,PH 1 - Replace Window Trim,, 3.00 ,,,,9/21/2016,9/24/2016,Arbor way>104,,Open,,,,,,,,,,,,,
376,PH 1 - Replace Window Trim,, 12.00 ,,,,9/21/2016,9/24/2016,Arbor way>107,,Open,,,,,,,,,,,,,
375,PH 1 - Replace Window Trim,, 3.00 ,,,,9/21/2016,9/24/2016,Arbor way>108,,Open,,,,,,,,,,,,,
374,PH 1 - Replace Window Trim,, 6.00 ,,,,9/21/2016,9/24/2016,Arbor way>109,,Open,,,,,,,,,,,,,
373,PH 2 - Replace Window Trim,, 30.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>101,,Open,,,,,,,,,,,,,
372,PH 2 - Replace Window Trim,, 3.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>109,,Open,,,,,,,,,,,,,
371,PH 1 - Replace Louvre ,, 1.00 ,,,,9/21/2016,9/24/2016,104 kindletree ct,,Open,,,,,,,,,,,,,
370,PH 1 - Trim,, 6.00 ,,,,9/21/2016,9/24/2016,101 kindletree ct,,Open,,,,,,,,,,,,,
369,PH 1 - Trim,, 12.00 ,,,,9/21/2016,9/24/2016,102 kindletree ct,,Open,,,,,,,,,,,,,
368,PH 1 - Trim,, 32.00 ,,,,9/21/2016,9/24/2016,102 north woods village dr,,Open,,,,,,,,,,,,,
367,PH 1 - Trim,, 6.00 ,,,,9/21/2016,9/24/2016,103 northwoods village dr,,Open,,,,,,,,,,,,,
366,PH 1 - Trim,, 44.00 ,,,,9/21/2016,9/24/2016,106 northwoods village dr,,Open,,,,,,,,,,,,,
365,PH 1 - Trim,, 26.00 ,,,,9/21/2016,9/24/2016,107 northwoods village dr,,Open,,,,,,,,,,,,,
364,PH 1 - Trim,, 20.00 ,,,,9/21/2016,9/24/2016,108 northwoods village dr,,Open,,,,,,,,,,,,,
363,PH 1 - Trim,, 16.00 ,,,,9/21/2016,9/24/2016,Arbor way>101,,Open,,,,,,,,,,,,,
362,PH 1 - Trim,, 94.00 ,,,,9/21/2016,9/24/2016,Arbor way>104,,Open,,,,,,,,,,,,,
361,PH 1 - Trim,, 12.00 ,,,,9/21/2016,9/24/2016,Arbor way>105,,Open,,,,,,,,,,,,,
360,PH 1 - Trim,, 12.00 ,,,,9/21/2016,9/24/2016,Arbor way>106,,Open,,,,,,,,,,,,,
359,PH 1 - Trim,, 26.00 ,,,,9/21/2016,9/24/2016,Arbor way>107,,Open,,,,,,,,,,,,,
358,PH 1 - Trim,, 6.00 ,,,,9/21/2016,9/24/2016,Arbor way>108,,Open,,,,,,,,,,,,,
357,PH 1 - Fascia Repair,, 15.00 ,,,,9/21/2016,9/24/2016,101 kindletree ct,,Open,,,,,,,,,,,,,
356,PH 1 - Fascia Repair,, 24.00 ,,,,9/21/2016,9/24/2016,102 kindletree ct,,Open,,,,,,,,,,,,,
355,PH 1 - Fascia Repair,, 12.00 ,,,,9/21/2016,9/24/2016,104 kindletree ct,,Open,,,,,,,,,,,,,
354,PH 1 - Fascia Repair,, 6.00 ,,,,9/21/2016,9/24/2016,103 northwoods village dr,,Open,,,,,,,,,,,,,
353,PH 1 - Fascia Repair,, 50.00 ,,,,9/21/2016,9/24/2016,104 northwoods village dr,,Open,,,,,,,,,,,,,
352,PH 1 - Fascia Repair,, 276.00 ,,,,9/21/2016,9/24/2016,105 northwoods village dr,,Open,,,,,,,,,,,,,
351,PH 1 - Fascia Repair,, 40.00 ,,,,9/21/2016,9/24/2016,106 northwoods village dr,,Open,,,,,,,,,,,,,
350,PH 1 - Fascia Repair,, 50.00 ,,,,9/21/2016,9/24/2016,Arbor way>101,,Open,,,,,,,,,,,,,
349,PH 1 - Fascia Repair,, 16.00 ,,,,9/21/2016,9/24/2016,Arbor way>103,,Open,,,,,,,,,,,,,
348,PH 1 - Fascia Repair,, 8.00 ,,,,9/21/2016,9/24/2016,Arbor way>107,,Open,,,,,,,,,,,,,
347,PH 1 - Fascia Repair,, 10.00 ,,,,9/21/2016,9/24/2016,Arbor way>108,,Open,,,,,,,,,,,,,
346,PH 2 - Fascia Repair,, 20.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>109,,Open,,,,,,,,,,,,,
345,PH 1 - Siding ,, 87.00 ,,,,9/21/2016,9/24/2016,100 kindletree ct,,Open,,,,,,,,,,,,,
344,PH 1 - Siding ,, 194.00 ,,,,9/21/2016,9/24/2016,101 kindletree ct,,Open,,,,,,,,,,,,,
343,PH 1 - Siding ,, 12.00 ,,,,9/21/2016,9/24/2016,102 kindletree ct,,Open,,,,,,,,,,,,,
342,PH 1 - Siding ,, 50.00 ,,,,9/21/2016,9/24/2016,101 northwoods village dr,,Open,,,,,,,,,,,,,
341,PH 1 - Siding ,, 256.00 ,,,,9/21/2016,9/24/2016,102 north woods village dr,,Open,,,,,,,,,,,,,
340,PH 1 - Siding ,, 66.00 ,,,,9/21/2016,9/24/2016,103 northwoods village dr,,Open,,,,,,,,,,,,,
339,PH 1 - Siding ,, 104.00 ,,,,9/21/2016,9/24/2016,104 northwoods village dr,,Open,,,,,,,,,,,,,
338,PH 1 - Siding ,, 276.00 ,,,,9/21/2016,9/24/2016,105 northwoods village dr,,Open,,,,,,,,,,,,,
337,PH 1 - Siding ,, 172.00 ,,,,9/21/2016,9/24/2016,106 northwoods village dr,,Open,,,,,,,,,,,,,
336,PH 1 - Siding ,, 120.00 ,,,,9/21/2016,9/24/2016,107 northwoods village dr,,Open,,,,,,,,,,,,,
335,PH 1 - Siding ,, 76.00 ,,,,9/21/2016,9/24/2016,108 northwoods village dr,,Open,,,,,,,,,,,,,
334,PH 1 - Siding ,, 20.00 ,,,,9/21/2016,9/24/2016,Arbor way>101,,Open,,,,,,,,,,,,,
333,PH 1 - Siding ,, 120.00 ,,,,9/21/2016,9/24/2016,Arbor way>102,,Open,,,,,,,,,,,,,
332,PH 1 - Siding ,, 184.00 ,,,,9/21/2016,9/24/2016,Arbor way>103,,Open,,,,,,,,,,,,,
331,PH 1 - Siding ,, 93.00 ,,,,9/21/2016,9/24/2016,Arbor way>104,,Open,,,,,,,,,,,,,
330,PH 1 - Siding ,, 197.00 ,,,,9/21/2016,9/24/2016,Arbor way>108,,Open,,,,,,,,,,,,,
329,PH 1 - Siding ,, 12.00 ,,,,9/21/2016,9/24/2016,Arbor way>109,,Open,,,,,,,,,,,,,
328,PH 2 - Siding ,, 16.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>100,,Open,,,,,,,,,,,,,
327,PH 2 - Siding ,, 240.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>102,,Open,,,,,,,,,,,,,
326,PH 2 - Siding ,, 16.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>103,,Open,,,,,,,,,,,,,
325,PH 2 - Siding ,, 112.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>104,,Open,,,,,,,,,,,,,
324,PH 2 - Siding ,, 88.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>107,,Open,,,,,,,,,,,,,
323,PH 2 - Siding ,, 144.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>108,,Open,,,,,,,,,,,,,
322,PH 2 - Siding ,, 336.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>112,,Open,,,,,,,,,,,,,
321,PH 2 - Siding ,, 96.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>114,,Open,,,,,,,,,,,,,
320,PH 2 - Siding ,, 112.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>116,,Open,,,,,,,,,,,,,
319,PH 2 - Siding ,, 448.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>118,,Open,,,,,,,,,,,,,
318,PH 2 - Siding ,, 60.00 ,,,,9/21/2016,9/24/2016,100 east canopy oak ct,,Open,,,,,,,,,,,,,
317,PH 2 - Siding ,, 36.00 ,,,,9/21/2016,9/24/2016,100 west canopy oak ct,,Open,,,,,,,,,,,,,
316,PH 1 - Soffit,, 6.00 ,,,,9/21/2016,9/24/2016,100 kindletree ct,,Open,,,,,,,,,,,,,
315,PH 1 - Soffit,, 13.00 ,,,,9/21/2016,9/24/2016,102 kindletree ct,,Open,,,,,,,,,,,,,
314,PH 1 - Soffit,, 6.00 ,,,,9/21/2016,9/24/2016,103 northwoods village dr,,Open,,,,,,,,,,,,,
